title,authors,publisher,date
Practical Windows Forensics,"['Ayman Shaaban', 'Konstantin Sapronov']",Packt Publishing,June 2016
Mastering Scala Machine Learning,['Alex Kozlov'],Packt Publishing,June 2016
VMware vSphere 6.x Datacenter Design Cookbook,['Hersey Cartwright'],Packt Publishing,June 2016
The Enterprise Big Data Lake,['Alex Gorelik'],O'Reilly Media,June 2016
Mastering Python Data Analysis,"['Magnus Vilhelm Persson', 'Luiz Felipe Martins']",Packt Publishing,June 2016
R: Data Analysis and Visualization,"['Tony Fischetti', 'Brett Lantz', 'Jaynal Abedin', 'Hrishi V. Mittal', 'Bater Makhabel', '...']",Packt Publishing,June 2016
Information Security Science,['Carl Young'],Elsevier / Syngress,June 2016
Core Data in Objective-C,['Marcus S. Zarra'],Pragmatic Bookshelf,June 2016
Core Data in Swift,['Marcus S. Zarra'],Pragmatic Bookshelf,June 2016
Advanced Splunk,['Ashish Kumar Tulsiram Yadav'],Packt Publishing,June 2016
Python: Real-World Data Science,"['Dusty Phillips', 'Fabrizio Romano', 'Phuong Vo. T. H.', 'Martin Czygan', 'Robert ...']",Packt Publishing,June 2016
Data Breach Preparation and Response,['Kevvie Fowler'],Elsevier / Syngress,June 2016
Splunk Operational Intelligence Cookbook,"['Josh Diakun', 'Paul F. Johnson', 'Derek Mock']",Packt Publishing,June 2016
Big Data,"['Rajkumar Buyya', 'Rodrigo N. Calheiros', 'Amir Vahid Dastjerdi']",Elsevier / Morgan Kaufmann,June 2016
Identity and Data Security for Web Development,"['Jonathan LeBlanc', 'Tim Messerschmidt']",O'Reilly Media,June 2016
Oracle Database 12c Security Cookbook,"['Zoran Pavlovic', 'Maja Veselica']",Packt Publishing,June 2016
Data Analytics with Hadoop,"['Benjamin Bengfort', 'Jenny Kim']",O'Reilly Media,June 2016
Time Is Money,['Tammy Everts'],O'Reilly Media,June 2016
Mastering Redis,['Jeremy Nelson'],Packt Publishing,May 2016
Mastering Parallel Programming with R,"['Simon R. Chapple', 'Eilidh Troup', 'Thorsten Forster', 'Terence Sloan']",Packt Publishing,May 2016
Mastering Mobile Forensics,['Soufiane Tahiri'],Packt Publishing,May 2016
Java Deep Learning Essentials,['Yusuke Sugomori'],Packt Publishing,May 2016
Mastering Data Visualization with Microsoft Visio Professional 2016,['David John Parker'],Packt Publishing,May 2016
Python Geospatial Development,['Erik Westra'],Packt Publishing,May 2016
Mastering the SAS DS2 Procedure,['Mark Jordan'],SAS Institute,May 2016
Practical Mobile Forensics,"['Heather Mahalik', 'Rohit Tamma', 'Satish Bommisetty']",Packt Publishing,May 2016
Threat Forecasting,"['John Pirc', 'David Desanto', 'Iain Davison', 'Will Gragido']",Elsevier / Syngress,May 2016
"Formative Assessment, Learning Data Analytics and Gamification","['Santi Caballé', 'Robert Clarisó']",Elsevier / Academic Press,May 2016
Streaming Architecture,"['Ted Dunning', 'Ellen Friedman']",O'Reilly Media,May 2016
Pervasive Computing,"['Ciprian Dobre', 'Fatos Xhafa']",Elsevier / Academic Press,May 2016
Professional Hadoop,"['Benoy Antony', 'Konstantin Boudnik', 'Cheryl Adams', 'Branky Shao', 'Cazen Lee', 'Kai ...']",Wiley / Wrox,May 2016
Practical Data Analysis Cookbook,['Tomasz Drabas'],Packt Publishing,April 2016
Apache Hive Cookbook,"['Hanish Bansal', 'Saurabh Chauhan', 'Shrey Mehrotra']",Packt Publishing,April 2016
QGIS 2 Cookbook,"['Alex Mandel', 'Victor Olaya Ferrero', 'Anita Graser', 'Alexander Bruy']",Packt Publishing,April 2016
RStudio for R Statistical Computing Cookbook,['Andrea Cirillo'],Packt Publishing,April 2016
Learning d3.js Data Visualization,"['Ændrew Rininsland', 'Swizec Teller']",Packt Publishing,April 2016
Scientific Computing with Scala,['Vytautas Jancauskas'],Packt Publishing,April 2016
Mastering QlikView Data Visualization,['Karl Pover'],Packt Publishing,April 2016
OpenStack Sahara Essentials,['Omar Khedher'],Packt Publishing,April 2016
Visualizing Financial Data,"['Julie Rodriguez', 'Piotr Kaczmarek']",Wiley,April 2016
Relational Database Design and Implementation,['Jan L. Harrington'],Elsevier / Morgan Kaufmann,April 2016
Distributed Computing with Python,['Francesco Pierfederici'],Packt Publishing,April 2016
Business Intelligence Strategy and Big Data Analytics,['Steve Williams'],Elsevier / Morgan Kaufmann,April 2016
Learning ArcGIS for Desktop,['Daniela Cristiana Docan'],Packt Publishing,March 2016
VMware Performance and Capacity Management,"[""Iwan 'e1' Rahabok""]",Packt Publishing,March 2016
Mastering Wireshark,['Charit Mishra'],Packt Publishing,March 2016
R Deep Learning Essentials,['Joshua F. Wiley'],Packt Publishing,March 2016
Mastering Clojure,['Akhil Wali'],Packt Publishing,March 2016
Learning Responsive Data Visualization,['Christoph Korner'],Packt Publishing,March 2016
Clinical Graphs Using SAS,['Sanjay Matange'],SAS Institute,March 2016
The DS2 Procedure: SAS Programming Methods at Work,['Peter Eberhardt'],SAS Institute,March 2016
Excel Power Pivot and Power Query For Dummies,['Michael Alexander'],Wiley / For Dummies,March 2016
CCNA Data Center: Introducing Cisco Data Center Technologies Study Guide,"['Todd Lammle', 'Todd Montgomery']",Wiley / Sybex,March 2016
The Visual Imperative,['Lindy Ryan'],Elsevier / Morgan Kaufmann,March 2016
Data Simplification,['Jules J Berman'],Elsevier / Morgan Kaufmann,March 2016
Learning QGIS,['Anita Graser'],Packt Publishing,March 2016
Spark,"['Ilya Ganelin', 'Ema Orhian', 'Kai Sasaki', 'Brennon York']",Wiley,March 2016
Regression Analysis with Python,"['Luca Massaron', 'Alberto Boschetti']",Packt Publishing,February 2016
Elasticsearch Server,"['Rafal Kuc', 'Marek Rogozinski']",Packt Publishing,February 2016
Real-Time Big Data Analytics,"['Sumit Gupta', 'Shilpi']",Packt Publishing,February 2016
F# for Machine Learning Essentials,['Sudipta Mukherjee'],Packt Publishing,February 2016
Getting Started with ResearchKit,"['Edward Cessna', 'Dhanush Balachandran']",Packt Publishing,February 2016
Preserving Electronic Evidence for Trial,"['Ann D. Zeigler', 'Ernesto F. Rojas']",Elsevier / Syngress,February 2016
Getting Started with SQL,['Thomas Nield'],O'Reilly Media,February 2016
Newnes Audio and Hi-Fi Engineer's Pocket Book,['Vivian Capel'],Elsevier / Newnes,February 2016
Data Wrangling with Python,"['Jacqueline Kazil', 'Katharine Jarmul']",O'Reilly Media,February 2016
The Kimball Group Reader,"['Ralph Kimball', 'Margy Ross', 'Joy Mundy', 'Bob Becker', 'Warren Thornthwaite']",Wiley,February 2016
Learning Scrapy,['Dimitrios Kouzis-Loukas'],Packt Publishing,January 2016
Geospatial Development By Example with Python,['Pablo Carreira'],Packt Publishing,January 2016
iOS Forensics Cookbook,"['Bhanu Birani', 'Mayank Birani']",Packt Publishing,January 2016
Scala for Data Science,['Pascal Bugnion'],Packt Publishing,January 2016
QlikView Essentials,['Chandraish Sinha'],Packt Publishing,January 2016
R Data Science Essentials,"['Raja B. Koushik', 'Sharan Kumar Ravindran']",Packt Publishing,January 2016
Tableau Your Data!,['Daniel G. Murray'],Wiley,January 2016
PHP Web Services,['Lorna Jane Mitchell'],O'Reilly Media,January 2016
Learning Hunk,"['Dmitry Anoshin', 'Sergey Sheypak']",Packt Publishing,December 2015
Excel Dashboards and Reports for Dummies,['Michael Alexander'],Wiley / For Dummies,December 2015
D3.js By Example,['Michael Heydt'],Packt Publishing,December 2015
Pentaho Analytics for MongoDB Cookbook,"['Joel Latino', 'Harris Ward']",Packt Publishing,December 2015
Apache Solr for Indexing Data,"['Sachin Handiekar', 'Anshul Johri']",Packt Publishing,December 2015
Secure Your Node.js Web Application,['Karl Duuna'],Pragmatic Bookshelf,December 2015
Client-Side Data Storage,['Raymond Camden'],O'Reilly Media,December 2015
Mathematica Data Analysis,['Sergiy Suchok'],Packt Publishing,December 2015
Spark for Python Developers,['Amit Nandi'],Packt Publishing,December 2015
Data Analysis with R,['Tony Fischetti'],Packt Publishing,December 2015
Big Data MBA,['Bill Schmarzo'],Wiley,December 2015
Apache Oozie Essentials,['Jagat Jasjit Singh'],Packt Publishing,December 2015
Mobile Data Loss,['Michael T. Raggo'],Elsevier / Syngress,December 2015
Data Mapping for Data Warehouse Design,['Qamar Shahbaz'],Elsevier / Morgan Kaufmann,December 2015
Embedded Computing and Mechatronics with the PIC32 Microcontroller,"['Kevin Lynch', 'Nicholas Marchuk', 'Matthew Elwin']",Elsevier / Newnes,December 2015
Python for Secret Agents - Volume II,['Steven Lott'],Packt Publishing,December 2015
Digital Forensics,['John Sammons'],Elsevier / Syngress,December 2015
Building Intelligent Information Systems Software,['Thomas D. Feigenbaum'],Elsevier / Morgan Kaufmann,December 2015
Learning ArcGIS Pro,['Tripp Corbin'],Packt Publishing,December 2015
"Mastering RStudio – Develop, Communicate, and Collaborate with R","['Julian Hillebrand', 'Maximilian H. Nierhoff']",Packt Publishing,December 2015
SAP Data Services 4.x Cookbook,['Ivan Shomnikov'],Packt Publishing,December 2015
Unsupervised Learning with R,['Erik Rodriguez Pacheco'],Packt Publishing,December 2015
Apache Kafka Cookbook,['Saurabh Minni'],Packt Publishing,December 2015
Think Python,['Allen B. Downey'],O'Reilly Media,December 2015
Building Python Real-Time Applications with Storm,"['Kartik Bhatnagar', 'Barry Hart']",Packt Publishing,December 2015
XQuery,['Priscilla Walmsley'],O'Reilly Media,December 2015
Data Analysis Using SQL and Excel,['Gordon S. Linoff'],Wiley,December 2015
Excel Data Analysis For Dummies,"['Stephen L. Nelson', 'E. B. Nelson']",Wiley / For Dummies,November 2015
Python Data Visualization Cookbook,"['Igor Milovanovic', 'Dimitry Foures', 'Giuseppe Vettigli']",Packt Publishing,November 2015
Image Processing with ImageJ,"['Jurjen Broeke', 'Jose Maria Mateos Perez', 'Javier Pascau']",Packt Publishing,November 2015
Creating Data Stories with Tableau Public,"['Ashley Ohmann', 'Matt Floyd']",Packt Publishing,November 2015
Data Lake Development with Big Data,"['Pradeep Pasupuleti', 'Beulah Salome Purra']",Packt Publishing,November 2015
Learning ELK Stack,['Saurabh Chhajed'],Packt Publishing,November 2015
Learning Flask Framework,"['Matt Copperwaite', 'Charles Leifer']",Packt Publishing,November 2015
Learning Couchbase,['Henry Potsangbam'],Packt Publishing,November 2015
Python Data Science Cookbook,['Gopi Subramanian'],Packt Publishing,November 2015
OpenCV 3 Blueprints,"['Joseph Howse', 'Steven Puttemans', 'Quan Hua', 'Utkarsh Sinha']",Packt Publishing,November 2015
Kibana Essentials,['Yuvraj Gupta'],Packt Publishing,November 2015
Getting Started with Python Data Analysis,"['Phuong Vo. T. H', 'Martin Czygan']",Packt Publishing,November 2015
Cassandra Design Patterns,['Rajanarayanan Thottuvaikkatumana'],Packt Publishing,November 2015
A Study of Black Hole Attack Solutions,"['Elahe Fazeldehkordi', 'Iraj Sadegh Amiri', 'Oluwatobi Ayodeji Akanbi']",Elsevier / Syngress,November 2015
Strategic Analytics,['Alec Levenson'],Berrett-Koehler Publishers,November 2015
Introduction to Statistical Machine Learning,['Masashi Sugiyama'],Elsevier / Morgan Kaufmann,October 2015
Scala Data Analysis Cookbook,['Arun Manivannan'],Packt Publishing,October 2015
Real Time Analytics with SAP HANA,['Vinay Singh'],Packt Publishing,October 2015
Learning Node.js for Mobile Application Development,"['Stefan Buttigieg', 'Milorad Jevdjenic']",Packt Publishing,October 2015
Web Development with MongoDB and NodeJS,"['Mithun Satheesh', ""Bruno Joseph D'mello"", 'Jason Krol']",Packt Publishing,October 2015
Data Analysis with Stata,['Prasad Kothari'],Packt Publishing,October 2015
Web Scraping with Python,['Richard Lawson'],Packt Publishing,October 2015
Mastering ServiceStack,['Andreas Niedermair'],Packt Publishing,October 2015
Learning Bayesian Models with R,['Dr. Hari M. Koduvely'],Packt Publishing,October 2015
Learning to Love Data Science,['Mike Barlow'],O'Reilly Media,October 2015
Data Analysis and Business Modeling with Excel 2013,['David Rojas'],Packt Publishing,October 2015
Mastering Python Data Visualization,['Kirthi Raman'],Packt Publishing,October 2015
MariaDB Essentials,"['Emilien Kenler', 'Federico Razzoli']",Packt Publishing,October 2015
Internet of Things with Arduino Blueprints,['Pradeeka Seneviratne'],Packt Publishing,October 2015
Elasticsearch for Hadoop,['Vishal Shukla'],Packt Publishing,October 2015
Building Responsive Data Visualization for the Web,['Bill Hinderman'],Wiley,October 2015
Learning IPython for Interactive Computing and Data Visualization,['Cyrille Rossant'],Packt Publishing,October 2015
Creating Stunning Dashboards with QlikView,['Julian Villafuerte'],Packt Publishing,October 2015
Graphing Data with R,['John Jay Hilfiger'],O'Reilly Media,October 2015
Learning Shiny,['Hernan G Resnizky'],Packt Publishing,October 2015
Tableau For Dummies,"['Molly Monsey', 'Paul Sochan']",Wiley / For Dummies,October 2015
Access 2016 For Dummies,"['Laurie Ulrich Fuller', 'Ken Cook']",Wiley / For Dummies,October 2015
Mastering Data Analysis with R,['Gergely Daróczi'],Packt Publishing,September 2015
Digital Java EE 7 Web Application Development,['Peter A. Pilgrim'],Packt Publishing,September 2015
Mastering Apache Spark,['Mike Frampton'],Packt Publishing,September 2015
QlikView for Finance,['B. Diane Blackwood'],Packt Publishing,September 2015
Building a Recommendation System with R,"['Suresh K. Gorakala', 'Michele Usuelli']",Packt Publishing,September 2015
Big Data for Chimps,"['Philip (flip) Kromer', 'Russell Jurney']",O'Reilly Media,September 2015
Learning Real-time Processing with Spark Streaming,['Sumit Gupta'],Packt Publishing,September 2015
Excel VBA Programming For Dummies,['John Walkenbach'],Wiley / For Dummies,September 2015
Learning Predictive Analytics with R,['Eric Mayor'],Packt Publishing,September 2015
Python Machine Learning,['Sebastian Raschka'],Packt Publishing,September 2015
Mastering Social Media Mining with R,"['Sharan Kumar Ravindran', 'Vikram Garg']",Packt Publishing,September 2015
Text Processing with Ruby,['Rob Miller'],Pragmatic Bookshelf,September 2015
Mastering ArcGIS Server Development with JavaScript,['Ken Doman'],Packt Publishing,September 2015
Sharing Big Data Safely,"['Ted Dunning', 'Ellen Friedman']",O'Reilly Media,September 2015
Building a Scalable Data Warehouse with Data Vault 2.0,"['Dan Linstedt', 'Michael Olschimke']",Elsevier / Morgan Kaufmann,September 2015
Apache Spark Graph Processing,['Rindra Ramamonjison'],Packt Publishing,September 2015
Redis Essentials,"['Maxwell Dayvson Da Silva', 'Hugo Lopes Tavares']",Packt Publishing,September 2015
Clojure for Data Science,['Henry Garner'],Packt Publishing,September 2015
SAP Lumira Essentials,['Dmitry Anoshin'],Packt Publishing,September 2015
The Art and Science of Analyzing Software Data,"['Christian Bird', 'Tim Menzies', 'Thomas Zimmermann']",Elsevier / Morgan Kaufmann,September 2015
Mastering Python for Data Science,['Samir Madhavan'],Packt Publishing,August 2015
The Architecture of Privacy,"['Courtney Bowman', 'Ari Gesher', 'John K Grant', 'Daniel Slate', 'Elissa Lerner']",O'Reilly Media,August 2015
Learning YARN,"['Akhil Arora', 'Shrey Mehrotra']",Packt Publishing,August 2015
Clojure Applied,"['Ben Vandgrift', 'Alex Miller']",Pragmatic Bookshelf,August 2015
Amazon S3 Cookbook,['Naoya Hashimoto'],Packt Publishing,August 2015
Structured Search for Big Data,['Mikhail Gilula'],Elsevier / Morgan Kaufmann,August 2015
Agent-Based Spatial Simulation with NetLogo Volume 1,"['Arnaud Banos', 'Christophe Lang', 'Nicolas Marilleau']",Elsevier / ISTE Press - Elsevier,August 2015
Big Data Forensics – Learning Hadoop Investigations,['Joe Sremack'],Packt Publishing,August 2015
OpenGL Data Visualization Cookbook,"['Raymond C. H. Lo', 'William C. Y. Lo']",Packt Publishing,August 2015
Entity Framework Tutorial,['Joydip Kanjilal'],Packt Publishing,August 2015
You: For Sale,['Stuart Sumner'],Elsevier / Syngress,August 2015
Clojure Data Structures and Algorithms Cookbook,['Rafik Naccache'],Packt Publishing,August 2015
"Emerging Trends in Computational Biology, Bioinformatics, and Systems Biology","['Hamid R. Arabnia', 'Quoc Nam Tran']",Elsevier / Morgan Kaufmann,August 2015
Introduction to JavaScript Object Notation,['Lindsay Bassett'],O'Reilly Media,August 2015
Ansible Playbook Essentials,['Gourav Shah'],Packt Publishing,August 2015
Machine Learning with R,['Brett Lantz'],Packt Publishing,July 2015
Getting Started with Hazelcast,['Mat Johns'],Packt Publishing,July 2015
Learning Data Mining with Python,['Robert Layton'],Packt Publishing,July 2015
Mastering OpenCV Android Application Programming,"['Salil Kapur', 'Nisarg Thakkar']",Packt Publishing,July 2015
Implementing Splunk,"['Vincent Bumgarner', 'James D. Miller']",Packt Publishing,July 2015
Programming ArcGIS with Python Cookbook,['Eric Pimpler'],Packt Publishing,July 2015
Neo4j Graph Data Modeling,['Mahesh Lal'],Packt Publishing,July 2015
Spark Cookbook,['Rishi Yadav'],Packt Publishing,July 2015
Oracle GoldenGate 12c Implementer's Guide,['John P Jeffries'],Packt Publishing,July 2015
Creating a Data-Driven Organization,['Carl Anderson'],O'Reilly Media,July 2015
QlikView Your Business,"['Oleg Troyansky', 'Tammy Gibson', 'Charlie Leichtweis', 'Lars Bjork']",Wiley,July 2015
"SAS 9.4 SQL Procedure User's Guide, Second Edition",['SAS Institute'],SAS Institute,July 2015
Data Algorithms,['Mahmoud Parsian'],O'Reilly Media,July 2015
Bioinformatics Data Skills,['Vince Buffalo'],O'Reilly Media,July 2015
Accumulo,"['Aaron Cordova', 'Billie Rinaldi', 'Michael Wall']",O'Reilly Media,July 2015
Hadoop Application Architectures,"['Mark Grover', 'Ted Malaska', 'Jonathan Seidman', 'Gwen Shapira']",O'Reilly Media,June 2015
Predictive Analytics Using Rattle and Qlik Sense,['Ferran Garcia Pagans'],Packt Publishing,June 2015
Learning F# Functional Data Structures and Algorithms,['Adnan Masood'],Packt Publishing,June 2015
Hadoop Security,"['Ben Spivey', 'Joey Echeverria']",O'Reilly Media,June 2015
Learning Redis,['Vinoo Das'],Packt Publishing,June 2015
Bioinformatics with Python Cookbook,['Tiago Antao'],Packt Publishing,June 2015
JavaScript JSON Cookbook,['Ray Rischpater'],Packt Publishing,June 2015
Oracle E-Business Suite R12.x HRMS – A Functionality Guide,['Pravin S. Ingawale'],Packt Publishing,June 2015
Python for Data Science For Dummies,"['John Paul Mueller', 'Luca Massaron']",Wiley / For Dummies,June 2015
Python Geospatial Analysis Essentials,['Erik Westra'],Packt Publishing,June 2015
MongoDB Data Modeling,['Wilson da Rocha Franca'],Packt Publishing,June 2015
Microsoft Dynamics AX 2012 R3 Security,['Ahmed Mohamed Rafik Moustafa'],Packt Publishing,June 2015
R For Dummies,"['Andrie de Vries', 'Joris Meys']",Wiley / For Dummies,June 2015
Python Geospatial Development Essentials,['Karim Bahgat'],Packt Publishing,June 2015
Web Scraping with Python,['Ryan Mitchell'],O'Reilly Media,June 2015
Graph Databases,"['Ian Robinson', 'Jim Webber', 'Emil Eifrem']",O'Reilly Media,June 2015
DIY Comms and Control for Amateur Space,['Sandy Antunes'],"Maker Media, Inc",June 2015
Infinispan Data Grid Platform Definitive Guide,['Wagner Roberto dos Santos'],Packt Publishing,May 2015
Learning Cascading,"['Michael Covert', 'Victoria Loewengart']",Packt Publishing,May 2015
Learning Haskell Data Analysis,['James Church'],Packt Publishing,May 2015
Neo4j Cookbook,['Ankur Goel'],Packt Publishing,May 2015
R Data Analysis Cookbook,"['Viswa Viswanathan', 'Shanthi Viswanathan']",Packt Publishing,May 2015
Clean Data,['Megan Squire'],Packt Publishing,May 2015
Mastering pandas for Finance,['Michael Heydt'],Packt Publishing,May 2015
FileMaker Pro 14: The Missing Manual,"['Susan Prosser', 'Stuart Gripman']",O'Reilly Media,May 2015
Crafting the InfoSec Playbook,"['Jeff Bollinger', 'Brandon Enright', 'Matthew Valites']",O'Reilly Media,May 2015
Data Quality for Analytics Using SAS,['Gerhard Svolba'],SAS Institute,May 2015
Python Data Science Essentials,"['Alberto Boschetti', 'Luca Massaron']",Packt Publishing,April 2015
Microsoft System Center Data Protection Manager 2012 R2 Cookbook,['Robert Hedblom'],Packt Publishing,April 2015
Hadoop for Finance Essentials,['Rajiv Tiwari'],Packt Publishing,April 2015
Learning Android Forensics,"['Rohit Tamma', 'Donnie Tindall']",Packt Publishing,April 2015
Mastering AngularJS for .NET Developers,"['Mohammad Wadood Majid', 'Golrokh Mirzaei']",Packt Publishing,April 2015
Microsoft Dynamics AX 2012 R3 Development Cookbook,['Mindaugas Pocius'],Packt Publishing,April 2015
Data-oriented Development with AngularJS,['Manoj Waikar'],Packt Publishing,April 2015
Monitoring Hadoop,['Gurmukh Singh'],Packt Publishing,April 2015
Scaling Big Data with Hadoop and Solr,['Hrishikesh Vijay Karambelkar'],Packt Publishing,April 2015
Data Visualization with D3 and AngularJS,['Christoph Korner'],Packt Publishing,April 2015
Learning Tableau,['Joshua N. Milligan'],Packt Publishing,April 2015
Ext JS Essentials,"['Stuart Ashworth', 'Andrew Duncan']",Packt Publishing,April 2015
PostGIS Essentials,['Angel Marquez'],Packt Publishing,April 2015
Entity Information Life Cycle for Big Data,"['John R. Talburt', 'Yinle Zhou']",Elsevier / Morgan Kaufmann,April 2015
Data Preparation for Analytics Using SAS,['Gerhard Svolba'],SAS Institute,April 2015
"Cody's Data Cleaning Techniques Using SAS, Second Edition",['Ron Cody'],SAS Institute,April 2015
Social Sensing,"['Dong Wang', 'Tarek Abdelzaher', 'Lance Kaplan']",Elsevier / Morgan Kaufmann,April 2015
Elementary Statistics Using SAS,['Sandra D. Schlotzhauer'],SAS Institute,April 2015
Learning pandas,['Michael Heydt'],Packt Publishing,April 2015
Data Science from Scratch,['Joel Grus'],O'Reilly Media,April 2015
VCA-DCV VMware Certified Associate on vSphere Study Guide,"['Robert Schmidt', 'Dane Charlton']",Wiley / Sybex,April 2015
Advanced Analytics with Spark,"['Sandy Ryza', 'Uri Laserson', 'Sean Owen', 'Josh Wills']",O'Reilly Media,April 2015
Exchanging Data between SAS and Microsoft Excel,['William E. Benjamin Jr.'],SAS Institute,April 2015
Data Manipulation with R,"['Jaynal Abedin', 'Kishor Kumar Das']",Packt Publishing,March 2015
Fast Data Processing with Spark,"['Krishna Sankar', 'Holden Karau']",Packt Publishing,March 2015
PostgreSQL for Data Architects,['Jayadevan Maymala'],Packt Publishing,March 2015
SAP BusinessObjects Dashboards 4.1 Cookbook,"['David Lai', 'Xavier Hacking']",Packt Publishing,March 2015
Microsoft System Center Reporting Cookbook,"['Samuel Erskine', 'Dieter Gasser', 'Kurt Van Hoecke', 'Nasira Ismail']",Packt Publishing,March 2015
Real-time Analytics with Storm and Cassandra,['Shilpi Saxena'],Packt Publishing,March 2015
R Packages,['Hadley Wickham'],O'Reilly Media,March 2015
QGIS Python Programming Cookbook,['Joel Lawhead'],Packt Publishing,March 2015
Mastering Apache Cassandra,['Nishant Neeraj'],Packt Publishing,March 2015
Machine Learning with R Cookbook,"['Yu-Wei', 'Chiu']",Packt Publishing,March 2015
Building Machine Learning Systems with Python,"['Luis Pedro Coelho', 'Willi Richert']",Packt Publishing,March 2015
Hadoop: The Definitive Guide,['Tom White'],O'Reilly Media,March 2015
RESTful Web API Design with Node.js,['Valentin Bojinov'],Packt Publishing,March 2015
Ruby Cookbook,"['Lucas Carlson', 'Leonard Richardson']",O'Reilly Media,March 2015
Real-World Hadoop,"['Ted Dunning', 'Ellen Friedman']",O'Reilly Media,March 2015
Machine Learning in Python,['Michael Bowles'],Wiley,March 2015
Multi-Domain Master Data Management,"['Mark Allen', 'Dalton Cervo']",Elsevier / Morgan Kaufmann,March 2015
Code-First Development with Entity Framework,['Sergey Barskiy'],Packt Publishing,March 2015
Data Visualization with JavaScript,['Stephen A. Thomas'],No Starch Press,March 2015
Mastering R for Quantitative Finance,"['Edina Berlinger', 'Ferenc Illes', 'Milan Badics', 'Adam Banai', 'Gergely Daróczi', '...']",Packt Publishing,March 2015
Learning iOS Forensics,"['Mattia Epifani', 'Pasquale Stirparo']",Packt Publishing,March 2015
Green Information Technology,"['Mohammad Dastbaz', 'Colin Pattinson', 'Babak Akhgar']",Elsevier / Morgan Kaufmann,March 2015
Field Guide to Hadoop,"['Kevin Sitto', 'Marshall Presser']",O'Reilly Media,March 2015
Neo4j High Performance,['Sonal Raj'],Packt Publishing,March 2015
Discovering JMP 12,['SAS Institute'],SAS Institute,March 2015
JMP 12 Scripting Guide,['SAS Institute'],SAS Institute,March 2015
Cloud Data Centers and Cost Modeling,"['Caesar Wu', 'Rajkumar Buyya']",Elsevier / Morgan Kaufmann,February 2015
KnockoutJS Web Development,['John Farrar'],Packt Publishing,February 2015
KnockoutJS Essentials,['Jorge Ferrando'],Packt Publishing,February 2015
Apache Hive Essentials,['Dayong Du'],Packt Publishing,February 2015
Getting Started with Julia,['Ivo Balbaert'],Packt Publishing,February 2015
PostgreSQL Server Programming,"['Usama Dar', 'Hannu Krosing', 'Jim Mlodgenski', 'Kirk Roybal']",Packt Publishing,February 2015
Vagrant Virtual Development Environment Cookbook,['Chad Thompson'],Packt Publishing,February 2015
Couchbase Essentials,['John Zablocki'],Packt Publishing,February 2015
KnockoutJS Blueprints,['Carlo Russo'],Packt Publishing,February 2015
Apache Flume: Distributed Log Collection for Hadoop,['Steve Hoffman'],Packt Publishing,February 2015
Mastering Entity Framework,['Rahul Rajat Singh'],Packt Publishing,February 2015
Neo4j Essentials,['Sumit Gupta'],Packt Publishing,February 2015
Learning Heroku Postgres,['Patrick Espake'],Packt Publishing,February 2015
Splunk Essentials,['Betsy Page Sigman'],Packt Publishing,February 2015
Data Science For Dummies,['Lillian Pierson'],Wiley / For Dummies,February 2015
Machine Learning with Spark,['Nick Pentreath'],Packt Publishing,February 2015
Learning Hadoop 2,"['Garry Turkington', 'Gabriele Modena']",Packt Publishing,February 2015
Cognitive Computing and Big Data Analytics,"['Judith Hurwitz', 'Marcia Kaufman', 'Adrian Bowles']",Wiley,February 2015
Learning Qlik® Sense: The Official Guide,"['Christopher Ilacqua', 'Henric Cronstrom', 'James Richardson']",Packt Publishing,February 2015
Learning Data Mining with R,['Bater Makhabel'],Packt Publishing,January 2015
PostgreSQL Cookbook,['Chitij Chauhan'],Packt Publishing,January 2015
Functional Python Programming,['Steven Lott'],Packt Publishing,January 2015
Salesforce CRM – The Definitive Admin Handbook,['Paul Goodey'],Packt Publishing,January 2015
R Data Visualization Cookbook,['Atmajitsinh Gohil'],Packt Publishing,January 2015
R High Performance Programming,"['Aloysius Lim', 'William Tjhi']",Packt Publishing,January 2015
Learning Spark,"['Holden Karau', 'Andy Konwinski', 'Patrick Wendell', 'Matei Zaharia']",O'Reilly Media,January 2015
Clojure Data Analysis Cookbook,['Eric Rochester'],Packt Publishing,January 2015
HDInsight Essentials,['Rajesh Nadipalli'],Packt Publishing,January 2015
Solr Cookbook,['Rafal Kuc'],Packt Publishing,January 2015
Elasticsearch: The Definitive Guide,"['Clinton Gormley', 'Zachary Tong']",O'Reilly Media,January 2015
ArcGIS for Desktop Cookbook,['Daniela Cristiana Docan'],Packt Publishing,January 2015
Graph Analysis and Visualization,"['Richard Brath', 'David Jonker']",Wiley,January 2015
Learning Informatica PowerCenter 9.x,['Rahul Malewar'],Packt Publishing,December 2014
Learning D3.js Mapping,"['Thomas Newton', 'Oscar Villarreal']",Packt Publishing,December 2014
Mastering Hadoop,['Sandeep Karanth'],Packt Publishing,December 2014
Cassandra High Availability,['Robbie Strickland'],Packt Publishing,December 2014
Mastering SQL Server 2014 Data Mining,"['Amarpreet Singh Bassan', 'Debarchan Sarkar']",Packt Publishing,December 2014
Learning R for Geospatial Analysis,['Michael Dorman'],Packt Publishing,December 2014
Hyper-V Security,"['Eric Siron', 'Andy Syrewicze']",Packt Publishing,December 2014
R for Data Science,['Dan Toomey'],Packt Publishing,December 2014
C# Multithreaded and Parallel Programming,['Rodney Ringler'],Packt Publishing,December 2014
